,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
199,0,2017-08-13,20:45,Supercoppa Italiana,Supercoppa Italiana,Sun,Neutral,L,2,3,Lazio,,,59.0,52000.0,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,15.0,7.0,,,1,1
200,1,2017-08-19,18:00,Serie A,Matchweek 1,Sat,Home,W,3,0,Cagliari,1.1,1.4,62.0,39226.0,Gianluigi Buffon,4-2-3-1,Fabio Maresca,Match Report,,17.0,7.0,19.8,2.0,0,0
201,2,2017-08-26,18:00,Serie A,Matchweek 2,Sat,Away,W,4,2,Genoa,2.1,1.2,57.0,26296.0,Gianluigi Buffon,4-2-3-1,Luca Banti,Match Report,,16.0,6.0,17.7,2.0,1,1
202,3,2017-09-09,18:00,Serie A,Matchweek 3,Sat,Home,W,3,0,Chievo,1.3,0.6,58.0,39457.0,Stephan Lichtsteiner,4-3-3,Michael Fabbri,Match Report,,15.0,4.0,17.5,0.0,0,0
203,4,2017-09-12,20:45,Champions Lg,Group stage,Tue,Away,L,0,3,es Barcelona,0.7,0.9,37.0,78656.0,Gianluigi Buffon,4-2-3-1,Damir Skomina,Match Report,,13.0,6.0,20.0,0.0,0,0
204,5,2017-09-17,12:30,Serie A,Matchweek 4,Sun,Away,W,3,1,Sassuolo,1.0,1.4,62.0,21584.0,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,14.0,6.0,20.2,1.0,0,0
205,6,2017-09-20,20:45,Serie A,Matchweek 5,Wed,Home,W,1,0,Fiorentina,0.9,0.4,60.0,35652.0,Andrea Barzagli,4-2-3-1,Daniele Doveri,Match Report,,12.0,5.0,22.6,1.0,0,0
206,7,2017-09-23,20:45,Serie A,Matchweek 6,Sat,Home,W,4,0,Torino,2.2,0.2,66.0,40856.0,Gianluigi Buffon,4-4-2,Piero Giacomelli,Match Report,,23.0,9.0,18.2,1.0,0,0
207,8,2017-09-27,20:45,Champions Lg,Group stage,Wed,Home,W,2,0,gr Olympiacos,2.3,0.5,75.0,33460.0,Gianluigi Buffon,4-2-3-1,Tobias Stieler,Match Report,,22.0,6.0,14.9,4.0,0,0
208,9,2017-10-01,20:45,Serie A,Matchweek 7,Sun,Away,D,2,2,Atalanta,2.7,1.1,58.0,19962.0,Gianluigi Buffon,4-2-3-1,Antonio Damato,Match Report,,16.0,7.0,19.6,1.0,0,1
209,10,2017-10-14,18:00,Serie A,Matchweek 8,Sat,Home,L,1,2,Lazio,2.3,1.6,60.0,39145.0,Gianluigi Buffon,4-3-3,Paolo Mazzoleni,Match Report,,17.0,5.0,21.6,0.0,0,1
210,11,2017-10-18,20:45,Champions Lg,Group stage,Wed,Home,W,2,1,pt Sporting CP,1.5,0.5,55.0,36288.0,Gianluigi Buffon,4-2-3-1,Michael Oliver,Match Report,,18.0,8.0,15.4,1.0,0,0
211,12,2017-10-22,18:00,Serie A,Matchweek 9,Sun,Away,W,6,2,Udinese,1.7,1.1,44.0,21992.0,Gianluigi Buffon,4-2-3-1,Daniele Doveri,Match Report,,13.0,5.0,16.1,1.0,0,0
212,13,2017-10-25,20:45,Serie A,Matchweek 10,Wed,Home,W,4,1,SPAL,1.1,0.8,69.0,38539.0,Andrea Barzagli,4-2-3-1,Fabrizio Pasqua,Match Report,,16.0,6.0,17.7,1.0,0,0
213,14,2017-10-28,18:00,Serie A,Matchweek 11,Sat,Away,W,2,0,Milan,0.4,1.0,46.0,78328.0,Gianluigi Buffon,4-2-3-1,Paolo Valeri,Match Report,,9.0,4.0,22.7,1.0,0,0
214,15,2017-10-31,19:45,Champions Lg,Group stage,Tue,Away,D,1,1,pt Sporting CP,2.0,0.5,66.0,48442.0,Gianluigi Buffon,4-2-3-1,Clément Turpin,Match Report,,16.0,5.0,19.0,0.0,0,0
215,16,2017-11-05,15:00,Serie A,Matchweek 12,Sun,Home,W,2,1,Benevento,2.9,0.1,66.0,39125.0,Giorgio Chiellini,4-2-3-1,Rosario Abisso,Match Report,,27.0,8.0,18.4,5.0,0,0
216,17,2017-11-19,15:00,Serie A,Matchweek 13,Sun,Away,L,2,3,Sampdoria,2.0,1.6,53.0,28786.0,Giorgio Chiellini,4-2-3-1,Marco Guida,Match Report,,17.0,3.0,20.4,1.0,1,1
217,18,2017-11-22,20:45,Champions Lg,Group stage,Wed,Home,D,0,0,es Barcelona,0.5,0.9,37.0,40876.0,Gianluigi Buffon,4-2-3-1,Milorad Mažić,Match Report,,10.0,3.0,18.5,0.0,0,0
218,19,2017-11-26,20:45,Serie A,Matchweek 14,Sun,Home,W,3,0,Crotone,2.2,0.1,80.0,35585.0,Gianluigi Buffon,3-4-3,Claudio Gavillucci,Match Report,,25.0,10.0,18.5,1.0,0,0
219,20,2017-12-01,20:45,Serie A,Matchweek 15,Fri,Away,W,1,0,Napoli,1.0,0.8,33.0,55567.0,Gianluigi Buffon,4-4-1-1,Daniele Orsato,Match Report,,7.0,4.0,17.4,0.0,0,0
220,21,2017-12-05,21:45,Champions Lg,Group stage,Tue,Away,W,2,0,gr Olympiacos,1.5,1.0,62.0,29567.0,Andrea Barzagli,4-2-3-1,David Fernández,Match Report,,8.0,5.0,15.4,0.0,0,0
221,22,2017-12-09,20:45,Serie A,Matchweek 16,Sat,Home,D,0,0,Inter,1.1,0.3,52.0,41418.0,Giorgio Chiellini,4-3-3,Paolo Valeri,Match Report,,19.0,7.0,19.6,1.0,0,0
222,23,2017-12-17,15:00,Serie A,Matchweek 17,Sun,Away,W,3,0,Bologna,0.6,0.2,59.0,29270.0,Andrea Barzagli,4-3-3,Luca Banti,Match Report,,12.0,7.0,18.5,1.0,0,0
